support,itemsets
0.24102886950265312,ai_dependency_score=medio + seeks_career_counseling=no + sleep_hours=medio
0.2407590610666427,daily_study_hours=medio + stress_level=medio + weekly_job_application_count=alto
0.24057918877596907,interview_anxiety_score=alto + stress_level=medio + weekly_job_application_count=alto
0.24057918877596907,career_clarity_score=medio + daily_ai_tool_usage_hrs=medio
0.24048925263063226,interview_anxiety_score=alto + stream=cs/it
0.24021944419462182,burnout_cat=medio + stream=cs/it
0.23976976346793777,college_tier=tier_3 + seeks_career_counseling=no + sleep_hours=medio
0.2392301465959169,burnout_cat=medio + sleep_hours=medio + stress_level=medio
0.2391402104505801,daily_study_hours=medio + degree_type=b.tech/b.e.
0.2391402104505801,daily_ai_tool_usage_hrs=medio + uses_ai_for_assignments=rarely + weekly_job_application_count=alto
0.23887040201456966,ai_replaces_own_thinking_score=medio + sleep_hours=medio + weekly_job_application_count=alto
0.23824084899721198,fear_of_job_loss_to_ai=medio
0.23815091285187517,daily_ai_tool_usage_hrs=alto + seeks_career_counseling=no
0.23779116827052793,burnout_cat=medio + resume_confidence_score=medio
0.23770123212519112,ai_replaces_own_thinking_score=bajo + daily_ai_tool_usage_hrs=medio + seeks_career_counseling=no
0.23707167910783344,ai_replaces_own_thinking_score=medio + daily_ai_tool_usage_hrs=alto
0.23707167910783344,fear_of_job_loss_to_ai=alto + interview_anxiety_score=alto + resume_confidence_score=bajo
0.23707167910783344,career_clarity_score=medio + social_media_hrs_per_day=medio
0.236801870671823,seeks_career_counseling=no + sleep_hours=medio + stream=cs/it
0.23653206223581258,daily_study_hours=medio + seeks_career_counseling=no + stress_level=medio
0.23599244536379171,burnout_cat=alto + sleep_hours=medio
0.23554276463710766,daily_study_hours=medio + interview_anxiety_score=alto
0.23554276463710766,ai_replaces_own_thinking_score=bajo + burnout_cat=medio + seeks_career_counseling=no
0.23518302005576042,motivation_score=medio + resume_confidence_score=medio
0.23518302005576042,resume_confidence_score=bajo + sleep_hours=medio + stress_level=medio
0.23491321161974998,uses_ai_for_assignments=sometimes + weekly_job_application_count=alto
0.23491321161974998,motivation_score=bajo + stress_level=medio
0.23437359474772912,ai_dependency_score=medio + college_tier=tier_3
0.23401385016638188,college_tier=tier_3 + daily_study_hours=medio
0.23383397787570825,seeks_career_counseling=no + sleep_hours=medio + stress_level=medio + weekly_job_application_count=alto
0.23383397787570825,burnout_cat=medio + social_media_hrs_per_day=medio
0.2332943610036874,ai_replaces_own_thinking_score=bajo + fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.2332943610036874,fear_of_job_loss_to_ai=alto + seeks_career_counseling=no + stress_level=medio
0.23311448871301377,ai_replaces_own_thinking_score=bajo + placement_anxiety_score=alto
0.23311448871301377,degree_type=b.sc/b.a/b.com + weekly_job_application_count=alto
0.23302455256767696,ai_dependency_score=medio + career_clarity_score=medio
0.23284468027700334,fear_of_job_loss_to_ai=alto + placement_anxiety_score=alto + resume_confidence_score=bajo
0.2324849356956561,career_clarity_score=medio + fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.23239499955031928,stress_level=bajo
0.23221512725964566,internship_experience=2 + sleep_hours=medio
0.23194531882363523,college_tier=tier_3 + resume_confidence_score=bajo + weekly_job_application_count=alto
0.23185538267829842,ai_replaces_own_thinking_score=bajo + stream=cs/it
0.23140570195161436,seeks_career_counseling=no + sleep_hours=medio + social_media_hrs_per_day=medio
0.23122582966094074,ai_replaces_own_thinking_score=bajo + resume_confidence_score=medio + seeks_career_counseling=no
0.23104595737026712,ai_dependency_score=bajo + ai_replaces_own_thinking_score=bajo
0.23050634049824625,college_tier=tier_3 + motivation_score=medio
0.2299667236262254,interview_anxiety_score=alto + resume_confidence_score=bajo + sleep_hours=medio
0.22960697904487815,college_tier=tier_3 + interview_anxiety_score=alto + weekly_job_application_count=alto
0.22951704289954133,career_clarity_score=medio + daily_study_hours=medio + seeks_career_counseling=no
0.2293371706088677,internship_experience=1 + weekly_job_application_count=alto
0.22897742602752047,college_tier=tier_3 + social_media_hrs_per_day=medio
0.22888748988218366,career_clarity_score=medio + daily_study_hours=medio + weekly_job_application_count=alto
0.22825793686482598,ai_dependency_score=medio + stream=cs/it
0.22816800071948917,ai_replaces_own_thinking_score=bajo + daily_study_hours=medio + sleep_hours=medio
0.22780825613814193,career_clarity_score=medio + interview_anxiety_score=alto
0.22771831999280512,ai_replaces_own_thinking_score=bajo + college_tier=tier_3 + weekly_job_application_count=alto
0.22771831999280512,daily_ai_tool_usage_hrs=medio + stress_level=medio + weekly_job_application_count=alto
0.22771831999280512,ai_replaces_own_thinking_score=bajo + daily_ai_tool_usage_hrs=medio + sleep_hours=medio
0.22735857541145787,career_clarity_score=medio + stress_level=medio + weekly_job_application_count=alto
0.22726863926612106,daily_study_hours=medio + placement_anxiety_score=alto
0.22726863926612106,daily_study_hours=medio + sleep_hours=medio + stress_level=medio
0.22726863926612106,internship_experience=1 + resume_confidence_score=bajo
0.22708876697544744,college_tier=tier_3 + degree_type=b.tech/b.e.
0.226818958539437,placement_anxiety_score=alto + stress_level=medio + weekly_job_application_count=alto
0.2267290223941002,interview_anxiety_score=alto + motivation_score=bajo
0.2267290223941002,interview_anxiety_score=alto + seeks_career_counseling=no + weekly_job_application_count=alto
0.2267290223941002,degree_type=b.tech/b.e. + resume_confidence_score=bajo
0.22645921395808977,degree_type=b.tech/b.e. + seeks_career_counseling=no + sleep_hours=medio
0.2258296609407321,daily_study_hours=bajo + seeks_career_counseling=no
0.2258296609407321,fear_of_job_loss_to_ai=alto + resume_confidence_score=bajo + sleep_hours=medio
0.22564978865005847,daily_ai_tool_usage_hrs=medio + motivation_score=medio
0.22537998021404804,ai_dependency_score=medio + motivation_score=medio
0.22529004406871123,ai_dependency_score=medio + interview_anxiety_score=alto
0.22520010792337442,ai_dependency_score=medio + fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.2251101717780376,daily_ai_tool_usage_hrs=medio + social_media_hrs_per_day=medio
0.2250202356327008,daily_ai_tool_usage_hrs=medio + seeks_career_counseling=no + uses_ai_for_assignments=rarely
0.22475042719669036,interview_anxiety_score=medio + stress_level=medio
0.22466049105135355,daily_ai_tool_usage_hrs=medio + interview_anxiety_score=alto
0.22457055490601674,resume_confidence_score=medio + stream=cs/it
0.22457055490601674,motivation_score=bajo + seeks_career_counseling=no
0.22439068261534312,interview_anxiety_score=medio + placement_anxiety_score=medio
0.22403093803399587,daily_ai_tool_usage_hrs=medio + degree_type=b.tech/b.e.
0.22394100188865906,daily_study_hours=medio + resume_confidence_score=medio + seeks_career_counseling=no
0.22394100188865906,stream=cs/it + stress_level=medio + weekly_job_application_count=alto
0.22358125730731182,ai_replaces_own_thinking_score=bajo + burnout_cat=medio + weekly_job_application_count=alto
0.22358125730731182,daily_ai_tool_usage_hrs=medio + fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.223491321161975,daily_ai_tool_usage_hrs=medio + resume_confidence_score=medio
0.2233114488713014,degree_type=b.tech/b.e. + fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.22313157658062777,motivation_score=medio + resume_confidence_score=bajo
0.22304164043529096,interview_anxiety_score=alto + placement_anxiety_score=alto + resume_confidence_score=bajo + weekly_job_application_count=alto
0.22295170428995414,interview_anxiety_score=alto + placement_anxiety_score=alto + sleep_hours=medio + weekly_job_application_count=alto
0.22277183199928052,daily_ai_tool_usage_hrs=medio + sleep_hours=medio + uses_ai_for_assignments=rarely
0.2225919597086069,career_clarity_score=medio + placement_anxiety_score=alto
0.22241208741793328,ai_replaces_own_thinking_score=medio + interview_anxiety_score=alto
0.22232215127259647,placement_anxiety_score=alto + stream=cs/it
0.22232215127259647,motivation_score=medio + stream=cs/it
0.22214227898192285,daily_study_hours=bajo + fear_of_job_loss_to_ai=alto
